entity,count,IUPACname,cid,similarity
PHOSPHORUS,2,phosphorus,5462309,0.7359380722045898
"CALCIUM, CA",3,calcium,5460341,0.7121307849884033
"MG, MAGNESIUM",2,magnesium,5462224,0.6814048886299133
OXALATE,2,oxalate,71081,0.6575286388397217
DOPAMINE,3,"4-(2-aminoethyl)benzene-1,2-diol",681,0.3231324553489685
